panel,x,sorted,random,maxwellian
b_survival,7.315416,0.0008753662109,0,2.565858724e-13
b_survival,7.556126,0.0008709716797,0,4.152512987e-14
b_survival,7.804757,0.0008670654297,0,5.961630849e-15
b_survival,8.061569,0.0008623046875,0,7.532138257e-16
b_survival,8.326831,0.0008587646484,0,8.303499766e-17
b_survival,8.600822,0.0008552246094,0,7.914728921e-18
b_survival,8.883828,0.0008520507812,0,6.459817861e-19
b_survival,9.176146,0.0008481445313,0,4.467953505e-20
b_survival,9.478083,0.0008432617188,0,2.589968259e-21
b_survival,9.789955,0.0008371582031,0,1.24350999e-22
b_survival,10.112089,0.0008328857422,0,4.883167206e-24
b_survival,10.444823,0.0008276367187,0,1.547439602e-25
b_survival,10.788505,0.0008227539062,0,3.900832638e-27
b_survival,11.143496,0.0008170166016,0,7.703487778e-29
b_survival,11.510168,0.0008143310547,0,1.172503949e-30
b_survival,11.888904,0.0008082275391,0,1.351680639e-32
b_survival,12.280103,0.0008026123047,0,1.15850176e-34
b_survival,12.684175,0.0007980957031,0,7.237226784e-37
b_survival,13.101542,0.0007923583984,0,3.226373006e-39
b_survival,13.532642,0.0007857666016,0,1.003513831e-41
b_survival,13.977927,0.0007786865234,0,2.125897758e-44
b_survival,14.437865,0.0007709960937,0,2.989619625e-47
b_survival,14.912936,0.0007653808594,0,2.715451692e-50
b_survival,15.403639,0.0007583007813,0,1.547115129e-53
b_survival,15.910489,0.0007512207031,0,5.359323202e-57
b_survival,16.434016,0.0007435302734,0,1.091817623e-60
b_survival,16.974770,0.0007360839844,0,1.262473451e-64
b_survival,17.533317,0.0007281494141,0,7.977631995e-69
b_survival,18.110243,0.0007198486328,0,2.645771537e-73
b_survival,18.706152,0.0007105712891,0,4.4109292e-78
b_survival,19.321670,0.0007019042969,0,3.53042759e-83
b_survival,19.957441,0.0006939697266,0,1.291598519e-88
b_survival,20.614131,0.0006839599609,0,2.04969091e-94
b_survival,21.292430,0.0006727294922,0,1.334277307e-100
b_survival,21.993047,0.0006611328125,0,3.356710719e-107
b_survival,22.716719,0.0006502685547,0,3.062480821e-114
b_survival,23.464202,0.000638671875,0,9.468006859e-122
b_survival,24.236281,0.0006275634766,0,9.226404579e-130
b_survival,25.033765,0.0006140136719,0,2.62334426e-138
b_survival,25.857489,0.0005992431641,0,2.004211215e-147
b_survival,26.708318,0.0005848388672,0,3.768079037e-157
b_survival,27.587143,0.0005679931641,0,1.587281598e-167
b_survival,28.494886,0.0005523681641,0,1.355470241e-178
b_survival,29.432497,0.00053515625,0,2.108947437e-190
b_survival,30.400960,0.0005183105469,0,5.334795141e-203
b_survival,31.401290,0.0004996337891,0,1.943004017e-216
b_survival,32.434535,0.0004797363281,0,8.950170317e-231
b_survival,33.501778,0.0004587402344,0,4.540692183e-246
b_survival,34.604139,0.0004366455078,0,2.189068701e-262
b_survival,35.742773,0.0004119873047,0,8.567809769e-280
b_survival,36.918872,0.0003833007813,0,2.301474786e-298
b_survival,38.133671,0.0003513183594,0,3.546842924e-318
b_survival,39.388442,0.0003200683594,0,0
b_survival,40.684501,0.0002806396484,0,0
b_survival,42.023206,0.00023828125,0,0
b_survival,43.405960,0.0001800537109,0,0
b_survival,44.834213,8.227539062e-05,0,0
b_survival,46.309463,0,0,0
b_survival,47.833255,0,0,0
b_survival,49.407186,0,0,0
b_survival,51.032907,0,0,0
b_survival,52.712122,0,0,0
b_survival,54.446590,0,0,0
b_survival,56.238130,0,0,0
b_survival,58.088620,0,0,0
b_survival,60.000000,0,0,0
